x1,x2,disease
-1.845781,2.5101218,Cirrhosis
8.520187,-2.5183115,Cirrhosis
-5.9511213,2.0106304,Cirrhosis
14.363113,0.38140714,Healthy
-15.508869,7.8897552,Cirrhosis
-13.143954,6.693377,Cirrhosis
-11.830054,-1.5561073,Cirrhosis
-10.924674,-5.305693,Cirrhosis
-15.760501,-3.0738387,Cirrhosis
6.0466332,2.3420804,Healthy
-3.23467,3.9852,Cirrhosis
-19.460812,1.6846684,Healthy
-5.1914387,-2.3758247,Cirrhosis
-10.595622,-12.505001,Cirrhosis
-12.547797,-0.21065584,Cirrhosis
-12.515554,-1.9467032,Cirrhosis
-9.068745,-1.9611311,Cirrhosis
-11.763948,10.866065,Cirrhosis
6.4493012,3.8989308,Healthy
-19.610067,-2.885196,Cirrhosis
4.987312,2.4995,Healthy
15.701951,-2.9205184,Healthy
-10.036355,4.87175,Cirrhosis
-14.158535,0.5879032,Cirrhosis
10.862003,6.271976,Healthy
0.17984451,5.728898,Cirrhosis
-8.618639,4.5383368,Cirrhosis
8.204809,1.9191439,Healthy
17.750248,-0.84529173,Healthy
8.326557,2.5884712,Healthy
11.525925,-5.596606,Healthy
12.90413,-1.8210243,Healthy
9.997497,-4.470901,Cirrhosis
11.541967,5.5144577,Healthy
8.750098,-3.244569,Healthy
7.345651,-1.5195279,Healthy
-19.60488,-0.555283,Cirrhosis
9.31603,-7.9079885,Cirrhosis
9.133442,-4.484279,Healthy
-7.2187877,-1.9194844,Cirrhosis
-7.719205,6.3535557,Cirrhosis
3.404827,6.165636,Healthy
-7.088564,-2.9135425,Cirrhosis
-6.622991,0.67504936,Cirrhosis
-8.44701,-3.9971595,Cirrhosis
10.838426,-7.2716885,Healthy
-11.100918,4.8569603,Cirrhosis
4.07941,-3.4101517,Healthy
-4.1345525,2.7835164,Cirrhosis
7.0738635,0.73667026,Healthy
-7.037496,-5.3474827,Healthy
4.161357,-4.185706,Healthy
-11.783219,-4.4806676,Cirrhosis
18.476204,1.4570904,Healthy
8.091738,-2.7717102,Healthy
-9.107289,-9.220489,Cirrhosis
12.42109,7.992438,Healthy
-14.719939,-1.6073445,Cirrhosis
2.9588215,-5.2172337,Cirrhosis
7.448514,0.9475805,Healthy
-15.743783,-3.4657269,Cirrhosis
7.185702,-6.8941207,Healthy
7.565368,7.3380623,Healthy
-6.974195,-5.5736017,Cirrhosis
12.033978,-3.0688748,Healthy
-20.341423,2.471055,Cirrhosis
8.409493,-2.8985813,Cirrhosis
13.939854,-0.009331298,Healthy
1.7236506,7.125366,Healthy
-6.931798,1.6515975,Cirrhosis
-13.874818,-3.3342671,Cirrhosis
3.066775,-3.7865846,Cirrhosis
-15.048944,7.3407316,Cirrhosis
16.862864,-10.77604,Healthy
-7.535041,-0.8779966,Cirrhosis
4.42514,7.8243976,Healthy
7.8988824,-3.6510534,Healthy
8.800806,0.20848748,Healthy
10.195758,-4.7324324,Healthy
4.6492395,-1.423501,Cirrhosis
8.678183,-7.156346,Healthy
-26.428143,-9.616872,Cirrhosis
14.6807,6.430889,Healthy
-19.895262,-8.389816,Cirrhosis
2.7287745,18.037542,Healthy
-8.17781,0.112555236,Cirrhosis
3.767324,5.289518,Cirrhosis
-5.0282087,2.3639448,Cirrhosis
7.0486546,6.276882,Healthy
-14.250378,-3.5317943,Cirrhosis
11.915025,-6.2224708,Healthy
8.822274,-4.022748,Healthy
-3.3776803,1.2590519,Cirrhosis
-2.6313446,-1.6889542,Cirrhosis
-21.81815,10.461591,Cirrhosis
11.237924,-11.103869,Healthy
7.718173,0.75707334,Healthy
10.20897,5.708036,Healthy
0.010636924,-9.895652,Cirrhosis
-11.717005,-2.2027206,Cirrhosis
-12.05841,-4.894603,Cirrhosis
9.588716,-0.9744382,Healthy
15.946251,4.1328454,Healthy
-21.48434,3.1492891,Cirrhosis
18.885153,-0.46897694,Healthy
-9.278422,3.7289455,Cirrhosis
9.109681,13.273832,Healthy
13.552624,-6.193077,Healthy
9.2254505,-0.69905055,Healthy
10.907179,1.7231277,Healthy
5.1291876,5.5114493,Cirrhosis
-6.2793407,-3.9401302,Cirrhosis
3.1897483,0.8543256,Healthy
11.336252,6.89778,Healthy
7.273688,-2.3308358,Healthy
-2.4682217,-3.858141,Cirrhosis
-8.59864,5.3060446,Cirrhosis
5.5414166,4.878453,Healthy
-17.221003,-0.099756226,Cirrhosis
-7.3731136,6.4958525,Cirrhosis
7.1723404,0.66448843,Healthy
7.728002,12.35392,Healthy
-13.287254,-1.3244001,Cirrhosis
-14.993361,1.4053595,Cirrhosis
-2.7446682,-5.615006,Cirrhosis
12.616908,-3.7357776,Healthy
9.405969,4.314897,Cirrhosis
5.052019,-4.5958185,Healthy
10.734782,1.6164571,Healthy
15.082376,-2.6146522,Healthy
